country,stability,rights,health,safety,climate,cost,popularity,iso_alpha,population (thousands)
Australia,86,92,87,100,90,23,41,AUS,26005
San Marino,81,82,91,87,62,61,47,SMR,33.66
Hong Kong,77,85,100,97,49,61,41,HKG,7326
Switzerland,91,99,93,99,34,44,46,CHE,8775
Macao,90,71,100,93,48,61,44,MAC,695
Malta,86,72,91,92,75,41,44,MLT,531
Luxembourg,93,99,85,100,25,46,42,LUX,653
Bermuda,89,78,96,93,68,34,35,BMU,63
Singapore,83,89,79,100,45,55,39,SGP,5637
Spain,64,73,87,95,74,43,66,ESP,47778
Japan,87,86,92,97,58,27,36,JPN,125124
Austria,83,91,97,98,27,37,47,AUT,9041
Portugal,80,77,82,93,68,44,37,PRT,10409
Canada,85,92,78,97,33,37,62,CAN,38929
Germany,82,94,96,95,21,44,42,DEU,83797
Norway,89,99,90,99,16,42,37,NOR,5457
South Korea,81,75,92,95,56,42,39,KOR,51628
Cyprus,67,68,77,93,75,53,50,CYP,1251
New Zealand,91,100,81,95,35,26,37,NZL,5124
Sweden,87,99,85,96,20,40,37,SWE,10486
France,72,83,91,93,41,29,71,FRA,67917
Finland,85,100,87,93,17,46,32,FIN,5556
Denmark,86,100,85,95,17,35,45,DNK,5903
Netherlands,84,98,83,96,20,40,37,NLD,17700
Uruguay,67,79,75,82,77,47,30,URY,3422
United States,63,81,71,85,66,37,67,USA,333287
United Arab Emirates,82,65,65,93,62,67,28,ARE,9441
Slovenia,80,73,83,96,40,57,32,SLO,2111
Czechia,78,73,90,93,22,49,59,CZE,10672
Qatar,77,60,62,94,60,70,38,QAT,2695
Croatia,67,58,80,91,57,67,40,HRV,3855
Israel,57,72,84,81,81,36,33,ISR,9557
Greece,60,61,89,88,69,44,43,GRC,10426
Poland,69,67,79,93,26,58,69,POL,36821
Italy,65,65,87,89,57,30,65,ITA,58940
Hungary,70,57,81,88,42,56,57,HUN,9643
Chile,66,79,68,87,47,54,36,RCH,19603
